SubjectInfo.subjID,SubjectInfo.testAge,Trials.trialID,Trials.ordinal,Trials.trialType,Trials.targetImage,Trials.distractorImage,Trials.imagePair,Trials.targetAudio,length_critical_window,useable_frames_critical_window,percent_usable_critical_window,usable_critical_window,mean_target_looking_critical_window,length_critical_window_short,useable_frames_critical_window_short,percent_usable_critical_window_short,usable_critical_window_short,mean_target_looking_critical_window_short,length_baseline_window,useable_frames_baseline_window,percent_usable_baseline_window,usable_baseline_window,mean_target_looking_baseline_window,percent_right_looking_baseline_window,percent_left_looking_baseline_window,side_bias_right,side_bias_left,usable_window,usable_window_short,corrected_target_looking,corrected_target_looking_short,age_exclusion,technical_issue_exclusion_reason,exclude_technical_issue,video_capture_time,framerate,trial_exclusion,trial_exclusion_reason,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,dev_concern_exclusion,side_bias_exclusion,exclude_participant_insufficient_data,section
VVI109,720,hard-potato-pot,1,hard,potato,pot,potato-pot,where,96,92,0.9583333333333334,1,0.6413043478260874,66,62,0.9393939393939394,1,0.8387096774193548,60,54,0.9,1,0.7407407407407409,0.23333333333333336,0.6666666666666666,0,0,1,1,-0.09943639291465356,0.09796893667861384,0,NA,FALSE,7.555,32.48237145763518,0,NA,0,0,0,0,0,0,sample1
VVI013,510,hard-snail-worm,1,hard,snail,worm,snail-worm,look_at,96,57,0.59375,1,0.07017543859649114,66,27,0.4090909090909091,0,0.14814814814814822,60,23,0.38333333333333336,0,0.34782608695652184,0.13333333333333333,0.25,0,0,0,0,-0.2776506483600307,-0.1996779388083736,0,NA,FALSE,7.333,30.007292173067576,1,insufficient looking,0,0,0,0,0,1,sample1
VVI064,630,hard-squirrel-monkey-distractor,1,hard-distractor,monkey,squirrel,squirrel-monkey,find,96,27,0.28125,0,1,66,27,0.4090909090909091,0,1,60,30,0.5,1,0.3,0.15,0.35,0,0,0,0,0.7,0.7,0,NA,FALSE,7.24,29.978560339091647,1,insufficient looking,0,0,0,0,0,1,sample1
VVI065,720,easy-turtle-horse,1,easy,turtle,horse,turtle-horse,find,96,96,1,1,0.46875,66,66,1,1,0.2272727272727274,60,60,1,1,0.1833333333333333,0.18333333333333332,0.8166666666666667,0,1,1,1,0.2854166666666667,0.04393939393939411,0,NA,FALSE,7.621,29.855434364374503,0,NA,0,0,0,0,0,0,sample1
VVI097,660,easy-potato-glasses,1,easy,potato,glasses,potato-glasses,look_at,96,96,1,1,0.7395833333333331,66,66,1,1,0.9848484848484848,60,60,1,1,0.6666666666666667,0.6666666666666666,0.3333333333333333,0,0,1,1,0.07291666666666641,0.3181818181818181,0,NA,FALSE,7.39,30.480204056192495,0,NA,0,0,0,0,0,0,sample1
VVI066,660,easy-acorn-key,1,easy,acorn,key,acorn-key,find,48,48,1,1,0,33,33,1,1,0,29,29,1,1,0.4827586206896552,0.4827586206896552,0.5172413793103449,0,0,1,1,-0.4827586206896552,-0.4827586206896552,0,NA,FALSE,7.274,15.130405045656769,0,NA,0,0,0,0,0,1,sample1
VVI025,600,easy-acorn-key,1,easy,acorn,key,acorn-key,see,96,96,1,1,0.5,66,66,1,1,0.7272727272727272,60,19,0.31666666666666665,0,0.4736842105263157,0.15,0.16666666666666666,0,0,0,0,0.02631578947368429,0.2535885167464115,0,NA,FALSE,7.44,29.9792970592232,1,insufficient looking,0,0,0,0,0,0,sample1
VVI024,510,hard-squirrel-monkey-distractor,1,hard-distractor,monkey,squirrel,squirrel-monkey,where,95,95,1,1,1,66,66,1,1,1,60,60,1,1,0.3833333333333335,0.38333333333333336,0.6166666666666667,0,0,1,1,0.6166666666666665,0.6166666666666665,0,NA,FALSE,7.523,30.222639109711302,0,NA,0,0,0,0,0,0,sample1
VVI116,450,easy-squirrel-eagle,1,easy,squirrel,eagle,squirrel-eagle,look_at,64,64,1,1,0,44,44,1,1,0,40,40,1,1,0.6000000000000001,0.4,0.6,0,0,1,1,-0.6000000000000001,-0.6000000000000001,0,NA,FALSE,7.565,20.17803680681355,0,NA,0,0,0,0,0,0,sample1
VVI113,570,hard-bulldozer-tractor-distractor,1,hard-distractor,tractor,bulldozer,bulldozer-tractor,look_at,48,42,0.875,1,0.5714285714285715,34,28,0.8235294117647058,1,0.6428571428571428,30,30,1,1,0.4666666666666666,0.5333333333333333,0.4666666666666667,0,0,1,1,0.10476190476190488,0.17619047619047618,0,NA,FALSE,7.225,15.466962752943155,0,NA,0,0,0,0,0,0,sample1
VVI070,480,hard-potato-pot-distractor,1,hard-distractor,pot,potato,potato-pot,where,73,69,0.9452054794520548,1,0.4347826086956521,52,52,1,1,0.5769230769230771,50,50,1,1,0.42,0.58,0.42,0,0,1,1,0.01478260869565201,0.15692307692307703,0,NA,FALSE,6.874,27.736977497219083,0,NA,0,0,0,0,0,0,sample1
VVI069,600,easy-acorn-key-distractor,2,easy-distractor,key,acorn,acorn-key,where,96,96,1,1,1,66,66,1,1,1,59,59,1,1,0.4406779661016949,0.4406779661016949,0.559322033898305,0,0,1,1,0.5593220338983051,0.5593220338983051,0,NA,FALSE,7.441,30.400154929783845,0,NA,0,0,0,0,0,0,sample1
VVI114,450,easy-turtle-horse-distractor,1,easy-distractor,horse,turtle,turtle-horse,look_at,96,96,1,1,0.6354166666666667,66,66,1,1,0.5454545454545456,60,60,1,1,0.3666666666666666,0.6333333333333333,0.36666666666666664,0,0,1,1,0.26875000000000016,0.17878787878787905,0,NA,FALSE,7.24,29.978560339091647,0,NA,0,0,0,0,0,0,sample1
VVI067,690,hard-snail-worm-distractor,1,hard-distractor,worm,snail,snail-worm,where,91,83,0.912087912087912,1,1,62,54,0.8709677419354839,1,1,56,56,1,1,0.9464285714285714,0.05357142857142857,0.9464285714285714,0,1,1,1,0.0535714285714286,0.0535714285714286,0,NA,FALSE,7.441,29.425558143762785,0,NA,0,0,0,0,0,0,sample1
VVI011,480,easy-turtle-horse-distractor,1,easy-distractor,horse,turtle,turtle-horse,where,49,49,1,1,0,34,34,1,1,0,30,30,1,1,0.9333333333333332,0.06666666666666667,0.9333333333333332,0,1,1,1,-0.9333333333333332,-0.9333333333333332,0,NA,FALSE,7.558,15.084069286740144,0,NA,0,0,0,0,0,0,sample1
VVI068,570,easy-acorn-key,1,easy,acorn,key,acorn-key,where,96,96,1,1,1,66,66,1,1,1,56,56,1,1,0.5714285714285716,0.42857142857142855,0.5714285714285714,0,0,1,1,0.4285714285714284,0.4285714285714284,0,NA,FALSE,8.02,31.414943225871063,0,NA,0,0,0,0,0,0,sample1
VVI023,630,easy-snail-cow-distractor,1,easy-distractor,cow,snail,snail-cow,where,96,96,1,1,0,66,66,1,1,0,60,54,0.9,1,0.7592592592592592,0.21666666666666667,0.6833333333333333,0,0,1,1,-0.7592592592592592,-0.7592592592592592,0,NA,FALSE,7.466,30.008594346829643,0,NA,0,0,0,0,0,0,sample1
VVI071,660,easy-turtle-horse-distractor,1,easy-distractor,horse,turtle,turtle-horse,find,48,17,0.3541666666666667,0,1,33,17,0.5151515151515151,1,1,30,30,1,1,0.5666666666666669,0.43333333333333335,0.5666666666666667,0,0,0,1,0.4333333333333331,0.4333333333333331,0,NA,FALSE,7.2,15.000753806723957,1,insufficient looking,0,0,0,0,0,0,sample1
VVI072,630,easy-acorn-key,1,easy,acorn,key,acorn-key,look_at,46,46,1,1,1,32,32,1,1,1,30,30,1,1,0.3666666666666667,0.36666666666666664,0.6333333333333333,0,0,1,1,0.6333333333333333,0.6333333333333333,0,NA,FALSE,7.34,14.917589119251016,0,NA,0,0,0,0,0,0,sample1
VVI073,570,hard-cheese-butter,1,hard,cheese,butter,cheese-butter,find,96,76,0.7916666666666666,1,0.3421052631578947,66,53,0.803030303030303,1,0.0566037735849056,60,55,0.9166666666666666,1,0.7090909090909092,0.26666666666666666,0.65,0,0,1,1,-0.3669856459330145,-0.6524871355060036,0,NA,FALSE,7.197,30.32081362177279,0,NA,0,0,0,0,0,1,sample1
