SubjectInfo.subjID,SubjectInfo.testAge,Trials.trialID,Trials.ordinal,Trials.trialType,Trials.targetImage,Trials.distractorImage,Trials.imagePair,length_critical_window,usable_frames_critical_window,percent_usable_critical_window,usable_critical_window,mean_target_looking_critical_window,length_critical_window_short,usable_frames_critical_window_short,percent_usable_critical_window_short,usable_critical_window_short,mean_target_looking_critical_window_short,length_baseline_window,usable_frames_baseline_window,percent_usable_baseline_window,usable_baseline_window,mean_target_looking_baseline_window,percent_right_looking_baseline_window,percent_left_looking_baseline_window,side_bias_right,side_bias_left,usable_window,usable_window_short,corrected_target_looking,corrected_target_looking_short,age_exclusion,technical_issue_exclusion_reason,exclude_technical_issue,video_capture_time,framerate,trial_exclusion,trial_exclusion_reason,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,side_bias_exclusion,exclude_participant_insufficient_data
QGTESM,630,easy-snail-cow-distractor,4,easy-distractor,cow,snail,snail-cow,96,96,1,1,0.75,45,45,1,1,0.4666666666666666,60,60,1,1,0.3999999999999998,0.6,0.4,0,0,1,1,0.3500000000000002,0.06666666666666682,0,NA,FALSE,7.407,29.977838801368215,0,NA,0,0,0,0,0
QWGKVS,750,easy-turkey-swan-distractor,4,easy-distractor,swan,turkey,turkey-swan,59,45,0.7627118644067796,1,0.04444444444444443,29,29,1,1,0.06896551724137934,33,33,1,1,0.39393939393939403,0.3939393939393939,0.6060606060606061,0,0,1,1,-0.3494949494949496,-0.3249738766980147,0,NA,FALSE,6.592,23.24852265680752,0,NA,0,0,0,0,0
FHRCdd,540,hard-turtle-frog,4,hard,turtle,frog,turtle-frog,96,73,0.7604166666666666,1,1,45,22,0.4888888888888889,0,1,60,6,0.1,0,0.16666666666666669,0.016666666666666666,0.08333333333333333,0,0,0,0,0.8333333333333333,0.8333333333333333,0,NA,FALSE,7.466,29.94231260903702,1,insufficient looking,0,0,0,0,0
GNXMNQ,660,hard-turtle-frog-distractor,4,hard-distractor,frog,turtle,turtle-frog,64,34,0.53125,1,0.8529411764705882,32,17,0.53125,1,0.7058823529411764,42,42,1,1,0.6904761904761904,0.6904761904761905,0.30952380952380953,0,0,1,1,0.16246498599439785,0.01540616246498605,0,NA,FALSE,6.83,25.292233432000817,0,NA,0,0,0,0,0
CKRG26,630,hard-potato-pot,4,hard,potato,pot,potato-pot,48,48,1,1,0.04166666666666668,23,23,1,1,0,30,30,1,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,1,1,-0.29166666666666663,-0.3333333333333333,0,NA,FALSE,7.066,15.00217608356161,0,NA,0,0,0,0,0
TUFKTQ,450,easy-turtle-horse-distractor,4,easy-distractor,horse,turtle,turtle-horse,96,96,1,1,0.6875,44,44,1,1,0.7727272727272729,61,61,1,1,1,1,0,1,0,1,1,-0.3125,-0.22727272727272707,0,NA,FALSE,7.423,30.56769925841249,0,NA,0,0,0,0,0
UUQJAd,570,easy-cheese-mud,4,easy,cheese,mud,cheese-mud,96,96,1,1,0.65625,45,45,1,1,0.8444444444444444,60,60,1,1,0.5666666666666668,0.5666666666666667,0.43333333333333335,0,0,1,1,0.08958333333333324,0.2777777777777777,0,NA,FALSE,7.358,58.22245260290501,0,NA,0,0,0,0,0
dKKWAR,450,hard-squirrel-monkey-distractor,4,hard-distractor,monkey,squirrel,squirrel-monkey,93,93,1,1,0.4838709677419352,44,44,1,1,0.7045454545454544,58,58,1,1,0.43103448275862055,0.5689655172413793,0.43103448275862066,0,0,1,1,0.05283648498331467,0.2735109717868338,0,NA,FALSE,7.283,31.798936281690285,0,NA,0,0,0,0,0
QWGKVS,750,hard-cheese-butter-distractor,5,hard-distractor,butter,cheese,cheese-butter,61,59,0.9672131147540983,1,0.016949152542372895,29,29,1,1,0,38,20,0.5263157894736842,1,0.55,0.23684210526315788,0.2894736842105263,0,0,1,1,-0.5330508474576271,-0.55,0,NA,FALSE,6.799,23.744044248547382,0,NA,0,0,0,0,0
dKKWAR,450,easy-acorn-key-distractor,5,easy-distractor,key,acorn,acorn-key,95,83,0.8736842105263158,1,0.20481927710843373,45,34,0.7555555555555555,1,0.1470588235294118,57,44,0.7719298245614035,1,0.06818181818181818,0.05263157894736842,0.7192982456140351,0,0,1,1,0.13663745892661555,0.07887700534759362,0,NA,FALSE,7.568,31.367286975859376,0,NA,0,0,0,0,0
FHRCdd,540,easy-turkey-swan,5,easy,turkey,swan,turkey-swan,96,62,0.6458333333333334,1,0.2580645161290324,45,45,1,1,0,60,60,1,1,0.4666666666666666,0.5333333333333333,0.4666666666666667,0,0,1,1,-0.2086021505376342,-0.4666666666666666,0,NA,FALSE,7.3,30.005941770647652,0,NA,0,0,0,0,0
5QCS4M,750,easy-snail-cow-distractor,5,easy-distractor,cow,snail,snail-cow,96,96,1,1,0.5520833333333334,45,45,1,1,0.8666666666666666,60,59,0.9833333333333333,1,0.1186440677966102,0.11666666666666667,0.8666666666666667,0,1,1,1,0.4334392655367232,0.7480225988700564,0,NA,FALSE,7.335,30.50282410451175,0,NA,0,0,0,0,0
TUFKTQ,450,easy-bulldozer-orange-distractor,5,easy-distractor,orange,bulldozer,bulldozer-orange,95,95,1,1,0.6315789473684209,45,45,1,1,0.4444444444444443,59,59,1,1,0.6949152542372881,0.3050847457627119,0.6949152542372882,0,0,1,1,-0.06333630686886715,-0.25047080979284375,0,NA,FALSE,7.42,30.641600945819242,0,NA,0,0,0,0,0
6THVBG,510,hard-acorn-coconut-distractor,5,hard-distractor,coconut,acorn,acorn-coconut,96,96,1,1,0.9895833333333334,45,45,1,1,1,60,60,1,1,1,1,0,1,0,1,1,-0.01041666666666663,0,0,NA,FALSE,7.166,30.008705384902377,0,NA,0,0,0,0,0
UUQJAd,570,hard-snail-worm,5,hard,snail,worm,snail-worm,96,96,1,1,0.71875,44,44,1,1,1,61,61,1,1,0.11475409836065566,0.11475409836065574,0.8852459016393442,0,1,1,1,0.6039959016393444,0.8852459016393444,0,NA,FALSE,7.391,68.97929896427807,0,NA,0,0,0,0,0
CKRG26,630,easy-squirrel-eagle,5,easy,squirrel,eagle,squirrel-eagle,48,43,0.8958333333333334,1,0.7209302325581397,22,22,1,1,0.4545454545454545,30,30,1,1,0.5,0.5,0.5,0,0,1,1,0.2209302325581397,-0.045454545454545525,0,NA,FALSE,6.866,15.00221750910057,0,NA,0,0,0,0,0
GNXMNQ,660,easy-bulldozer-orange,5,easy,bulldozer,orange,bulldozer-orange,81,80,0.9876543209876543,1,0.4624999999999999,38,37,0.9736842105263158,1,0,55,54,0.9818181818181818,1,0.4814814814814815,0.509090909090909,0.4727272727272727,0,0,1,1,-0.0189814814814816,-0.4814814814814815,0,NA,FALSE,6.927,28.63359639451191,0,NA,0,0,0,0,0
d4HUR3,480,hard-bulldozer-tractor,5,hard,bulldozer,tractor,bulldozer-tractor,48,48,1,1,0.6875,23,23,1,1,1,30,30,1,1,0.3333333333333334,0.3333333333333333,0.6666666666666666,0,0,1,1,0.3541666666666666,0.6666666666666665,0,NA,FALSE,7.516,15.167873062609905,0,NA,0,0,0,0,0
XMJ25D,690,easy-snail-cow,5,easy,snail,cow,snail-cow,95,95,1,1,0.936842105263158,44,44,1,1,0.8636363636363636,61,61,1,1,0.09836065573770494,0.09836065573770492,0.9016393442622951,0,1,1,1,0.8384814495254531,0.7652757078986587,0,NA,FALSE,7.244,30.640795522745996,0,NA,0,0,0,0,0
UQBHFH,510,hard-cheese-butter-distractor,5,hard-distractor,butter,cheese,cheese-butter,95,92,0.968421052631579,1,0.9130434782608696,44,44,1,1,1,60,52,0.8666666666666667,1,0.5384615384615385,0.4666666666666667,0.4,0,0,1,1,0.3745819397993311,0.46153846153846145,0,NA,FALSE,7.307,29.977453829186302,0,NA,0,0,0,0,1
NPV5EF,570,easy-cheese-mud,5,easy,cheese,mud,cheese-mud,24,23,0.9583333333333334,1,0,11,11,1,1,0,15,15,1,1,0,1,0,1,0,1,1,0,0,0,framerate issue,TRUE,7.066,7.50079930888895,1,framerate issue,0,0,0,0,NA
QGTESM,630,easy-turtle-horse,5,easy,turtle,horse,turtle-horse,96,96,1,1,0.8854166666666666,45,45,1,1,0.7555555555555555,60,60,1,1,0.08333333333333333,0.08333333333333333,0.9166666666666666,0,1,1,1,0.8020833333333333,0.6722222222222222,0,NA,FALSE,7.307,29.977453829186302,0,NA,0,0,0,0,0
CKRG26,630,hard-turkey-goat,6,hard,turkey,goat,turkey-goat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,0.6363636363636364,1,0,0.6363636363636364,0,0,0,0,0,NA,NA,0,unusually short trial,TRUE,2.266,15.005187963923698,1,insufficient looking - unusually short trial,0,0,0,0,0
UUQJAd,570,easy-squirrel-eagle,6,easy,squirrel,eagle,squirrel-eagle,94,94,1,1,1,44,44,1,1,1,59,59,1,1,0.5084745762711862,0.4915254237288136,0.5084745762711864,0,0,1,1,0.4915254237288138,0.4915254237288138,0,NA,FALSE,7.359,64.8205676912336,0,NA,0,0,0,0,0
XMJ25D,690,easy-potato-glasses-distractor,6,easy-distractor,glasses,potato,potato-glasses,94,94,1,1,0.478723404255319,43,43,1,1,0.6046511627906977,60,60,1,1,0.10000000000000006,0.9,0.1,1,0,1,1,0.3787234042553189,0.5046511627906977,0,NA,FALSE,7.251,30.603132388757846,0,NA,0,0,0,0,0
5QCS4M,750,easy-acorn-key-distractor,6,easy-distractor,key,acorn,acorn-key,95,95,1,1,0.7999999999999998,44,44,1,1,0.5681818181818181,60,55,0.9166666666666666,1,0.018181818181818177,0.9,0.016666666666666666,1,0,1,1,0.7818181818181816,0.5499999999999999,0,NA,FALSE,7.359,34.68325535063736,0,NA,0,0,0,0,0
QGTESM,630,hard-turkey-goat-distractor,6,hard-distractor,goat,turkey,turkey-goat,96,93,0.96875,1,0.4408602150537634,45,42,0.9333333333333333,1,0.4047619047619046,60,60,1,1,0.6666666666666667,0.6666666666666666,0.3333333333333333,0,0,1,1,-0.22580645161290336,-0.26190476190476214,0,NA,FALSE,7.307,29.977453829186302,0,NA,0,0,0,0,0
