,SubjectInfo.subjID,Trials.trialID,absolute_onset,Trials.audio_lag_vs_video_lag,absolute_offset,SubjectInfo.testAge,SubjectInfo.gender,Trials.leftImage,Trials.rightImage,Trials.targetImage,Trials.targetAudio,Trials.trialType,Trials.carrier_onset,Trials.target_onset,Trials.target_offset,Trials.order,SubjectInfo.age_at_birth,SubjectInfo.language_list,SubjectInfo.condition_list,Trials.ordinal
0,M7RZU2,hard-turtle-frog,2025-01-05 16:30:45.045,100.0,2025-01-05 16:30:52.409,510,f,turtle,frog,turtle,where,hard,2,2.980748,3.960068,32,40 or more weeks,en egy,,19
0,QcRBVD,easy-potato-glasses-distractor,2025-01-05 19:56:14.197,86.0,2025-01-05 19:56:21.581,510,m,glasses,potato,glasses,where,easy-distractor,2,2.980748,3.960068,32,40 or more weeks,en,,19
0,AWMRW7,easy-turkey-swan,2025-01-05 16:15:44.216,185.0,2025-01-05 16:15:51.656,720,f,swan,turkey,turkey,look_at,easy,2,2.980748,3.960068,32,39 weeks,en,,19
0,ZPX2dD,easy-bulldozer-orange-distractor,2025-01-05 14:49:48.911,151.0,2025-01-05 14:49:56.307,600,m,bulldozer,orange,orange,where,easy-distractor,2,2.980748,3.960068,32,39 weeks,en,,19
0,M7RZU2,easy-potato-glasses-distractor,2025-01-05 16:30:56.350,4.0,2025-01-05 16:31:03.608,510,f,potato,glasses,glasses,find,easy-distractor,2,2.980748,3.960068,33,40 or more weeks,en egy,,20
0,ZPX2dD,easy-squirrel-eagle,2025-01-05 14:50:00.055,139.0,2025-01-05 14:50:07.456,600,m,squirrel,eagle,squirrel,see,easy,2,2.980748,3.960068,33,39 weeks,en,,20
0,AWMRW7,easy-potato-glasses-distractor,2025-01-05 16:15:54.008,168.0,2025-01-05 16:16:01.435,720,f,potato,glasses,glasses,find,easy-distractor,2,2.980748,3.960068,33,39 weeks,en,,20
0,QcRBVD,easy-turkey-swan,2025-01-05 19:56:27.507,54.0,2025-01-05 19:56:34.822,510,m,swan,turkey,turkey,see,easy,2,2.980748,3.960068,33,40 or more weeks,en,,20
0,CS7F6L,hard-snail-worm,2025-01-06 14:08:22.840,7.0,2025-01-06 14:08:30.291,540,m,worm,snail,snail,find,hard,2,2.980748,3.860907,33,39 weeks,en es,,20
0,M7RZU2,easy-squirrel-eagle-distractor,2025-01-05 16:31:12.321,41.0,2025-01-05 16:31:19.638,510,f,eagle,squirrel,eagle,where,easy-distractor,2,2.980748,3.960068,35,40 or more weeks,en egy,,21
0,AWMRW7,easy-turtle-horse,2025-01-05 16:16:27.442,5.0,2025-01-05 16:16:34.715,720,f,turtle,horse,turtle,where,easy,2,2.980748,3.960068,35,39 weeks,en,,21
0,QcRBVD,easy-snail-cow-distractor,2025-01-05 19:56:42.641,81.0,2025-01-05 19:56:49.983,510,m,snail,cow,cow,where,easy-distractor,2,2.980748,3.860907,35,40 or more weeks,en,,21
0,ZPX2dD,hard-potato-pot-distractor,2025-01-05 14:50:16.003,161.0,2025-01-05 14:50:23.426,600,m,potato,pot,pot,where,hard-distractor,2,2.980748,3.860907,35,39 weeks,en,,21
0,CS7F6L,hard-potato-pot-distractor,2025-01-06 14:08:42.586,281.0,2025-01-06 14:08:50.108,540,m,pot,potato,pot,where,hard-distractor,2,2.980748,3.860907,35,39 weeks,en es,,21
0,CS7F6L,hard-squirrel-monkey-distractor,2025-01-06 14:08:52.294,356.0,2025-01-06 14:09:00.050,540,m,monkey,squirrel,monkey,look_at,hard-distractor,2,2.980748,3.960068,36,39 weeks,en es,,22
0,QcRBVD,hard-bulldozer-tractor-distractor,2025-01-05 19:56:55.438,111.0,2025-01-05 19:57:02.803,510,m,tractor,bulldozer,tractor,look_at,hard-distractor,2,2.980748,3.960068,36,40 or more weeks,en,,22
0,ZPX2dD,easy-turtle-horse-distractor,2025-01-05 14:50:26.591,167.0,2025-01-05 14:50:34.015,600,m,turtle,horse,horse,see,easy-distractor,2,2.980748,3.860907,36,39 weeks,en,,22
0,M7RZU2,hard-acorn-coconut,2025-01-05 16:31:28.036,4.0,2025-01-05 16:31:35.317,510,f,coconut,acorn,acorn,look_at,hard,2,2.980748,3.960068,36,40 or more weeks,en egy,,22
0,AWMRW7,easy-cheese-mud,2025-01-05 16:16:40.822,159.0,2025-01-05 16:16:48.235,720,f,mud,cheese,cheese,find,easy,2,2.980748,3.960068,36,39 weeks,en,,22
