,SubjectInfo.subjID,Trials.trialID,absolute_onset,Trials.audio_lag_vs_video_lag,absolute_offset,SubjectInfo.testAge,SubjectInfo.gender,Trials.leftImage,Trials.rightImage,Trials.targetImage,Trials.targetAudio,Trials.trialType,Trials.carrier_onset,Trials.target_onset,Trials.target_offset,Trials.article_length,Trials.order,SubjectInfo.age_at_birth,SubjectInfo.language_list,SubjectInfo.condition_list,Trials.ordinal
0,XMJ25D,easy-acorn-key-distractor,2025-01-23 19:44:32.635,3.0,2025-01-23 19:44:39.913,690,m,key,acorn,key,where,easy-distractor,2,3.275748,4.155907,0.295,11,39 weeks,en,,2
0,ZM4dG6,hard-snail-worm,2025-01-29 16:26:14.838,163.0,2025-01-29 16:26:22.294,570,f,snail,worm,snail,see,hard,2,3.1087480000000003,3.988907,0.128,11,37 weeks,en yue,,2
0,GNXMNQ,hard-snail-worm,2025-01-24 00:43:59.492,53.0,2025-01-24 00:44:06.800,660,m,snail,worm,snail,find,hard,2,3.1087480000000003,3.988907,0.128,11,37 weeks,en te ur,,2
0,HKHYFS,easy-turkey-swan,2025-01-27 22:52:27.506,391.0,2025-01-27 22:52:35.150,690,f,swan,turkey,turkey,see,easy,2,3.2257480000000003,4.205068000000001,0.245,11,39 weeks,en,,2
0,FHADJV,hard-squirrel-monkey-distractor,2025-01-29 17:20:04.177,5.0,2025-01-29 17:20:11.438,630,f,squirrel,monkey,monkey,see,hard-distractor,2,3.1697480000000002,4.149068,0.189,11,40 or more weeks,en,,2
0,NPV5EF,easy-turtle-horse-distractor,2025-01-23 18:00:31.253,1.0,2025-01-23 18:00:38.514,570,m,horse,turtle,horse,see,easy-distractor,2,3.175748,4.055907,0.195,11,39 weeks,en hak cmn ru,,2
0,UUQJAd,easy-turtle-horse,2025-01-24 13:26:50.440,252.0,2025-01-24 13:26:57.927,570,f,horse,turtle,turtle,look_at,easy,2,3.231748,4.211068,0.251,11,38 weeks,en fr,,2
0,YLPTX3,easy-acorn-key-distractor,2025-01-29 17:35:57.915,256.0,2025-01-29 17:36:05.415,750,f,acorn,key,key,see,easy-distractor,2,3.2817480000000003,4.161907,0.301,11,37 weeks,en,,2
0,R6N65Q,hard-potato-pot,2025-01-27 23:49:28.005,118.0,2025-01-27 23:49:35.392,540,m,pot,potato,potato,find,hard,2,3.222748,4.345515000000001,0.242,11,40 or more weeks,en,,2
0,d4HUR3,easy-cheese-mud,2025-01-24 02:47:31.647,400.0,2025-01-24 02:47:39.291,480,f,cheese,mud,cheese,look_at,easy,2,3.146748,4.126068,0.166,11,39 weeks,en,,2
0,CLHZRF,easy-bulldozer-orange-distractor,2025-01-28 15:12:31.707,173.0,2025-01-28 15:12:39.154,570,m,bulldozer,orange,orange,see,easy-distractor,2,3.1967480000000004,4.176068000000001,0.216,11,37 weeks,en it,,2
