image_similarity,text1,epoch,text2,text_similarity,multimodal_similarity
0.7210924,acorn,4,coconut,0.7100632,0.39979511
0.3948139,balloon,4,dresser,0.62209296,0.20701087
0.668947,balloon,4,kite,0.7227832,0.46045697
0.48680237,bathtub,4,sock,0.5761497,0.10062772
0.72365874,bathtub,4,shower,0.8200583,0.385275
0.46084,camel,4,ladybug,0.54694825,0.13118291
0.66935045,camel,4,elephant,0.76670116,0.3770091
0.48401088,cloud,4,zipper,0.553452,0.27890658
0.73228496,cloud,4,tree,0.7206835,0.40251064
0.4719315,crow,4,seahorse,0.5275805,0.2586496
0.60519564,crow,4,penguin,0.75407994,0.35050714
0.5111141,duck,4,butterfly,0.6700782,0.30450505
0.58436793,duck,4,chicken,0.80454046,0.439211
0.5263627,lizard,4,walrus,0.5145244,0.27113712
0.8070602,lizard,4,snake,0.843634,0.45177782
0.52151257,truck,4,airplane,0.76568186,0.33690912
0.3913948,truck,4,car,0.84024554,0.21338016
0.6059584,swan,4,turkey,0.70176315,0.38286972
0.49258277,horse,4,turtle,0.66493344,0.23754025
0.45788723,mud,4,cheese,0.5437765,0.2291575
0.5349696,eagle,4,squirrel,0.67617667,0.28097045
0.42491674,glasses,4,potato,0.553251,0.23194689
0.499074,orange,4,bulldozer,0.59583193,0.2717356
0.4619856,cow,4,snail,0.6070621,0.3053636
0.38610733,key,4,acorn,0.6240485,0.32782447
0.56351924,goat,4,turkey,0.6432665,0.35497433
0.64223117,frog,4,turtle,0.7903417,0.38678437
0.7495217,butter,4,cheese,0.8134024,0.40398043
0.6509497,monkey,4,squirrel,0.7444799,0.41979945
0.43219495,pot,4,potato,0.666228,0.48197067
0.6091455,tractor,4,bulldozer,0.83333147,0.46115392
0.6013845,worm,4,snail,0.80115175,0.41800028
0.7210924,coconut,4,acorn,0.7100632,0.4262377
0.3948139,dresser,4,balloon,0.62209296,0.26584828
0.668947,kite,4,balloon,0.7227832,0.34745973
0.48680237,sock,4,bathtub,0.5761497,0.3091709
0.72365874,shower,4,bathtub,0.8200583,0.46335894
0.46084,ladybug,4,camel,0.54694825,0.19072026
0.66935045,elephant,4,camel,0.76670116,0.36010355
0.48401088,zipper,4,cloud,0.553452,0.25502747
0.73228496,tree,4,cloud,0.7206835,0.33778775
0.4719315,seahorse,4,crow,0.5275805,0.18074
0.60519564,penguin,4,crow,0.75407994,0.36702502
0.5111141,butterfly,4,duck,0.6700782,0.2398817
0.58436793,chicken,4,duck,0.80454046,0.3322698
0.5263627,walrus,4,lizard,0.5145244,0.18485916
